scenario no.,scenario diversity
2400,365279.0293
2401,365039.9347
2402,364977.5119
2403,364915.5674
2404,364989.034
2405,364948.6411
2406,364925.2598
2407,364892.3785
2408,364421.6406
2409,364361.1878
2410,364305.9087
2411,364320.4445
2412,364190.2809
2413,364127.9324
2414,364078.4521
2415,364055.1743
2416,363958.9805
2417,363898.5499
2418,363837.5629
2419,363952.9782
2420,363716.8196
2421,363653.7228
2422,363581.7839
2423,364325.2994
2424,364240.414
2425,363940.5803
2426,363786.8498
2427,363742.8601
2428,363751.9343
2429,363706.886
2430,363351.4344
2431,363067.2815
2432,363011.4922
2433,363262.1139
2434,363126.6104
2435,362796.8512
2436,362741.7416
2437,363310.6449
2438,363296.274
2439,362930.3189
2440,362712.2554
2441,362701.7463
2442,362622.313
2443,362488.8298
2444,362421.8456
2445,362370.5765
2446,362451.1774
2447,362363.9145
2448,362305.2867
2449,362258.8189
2450,362227.9091
2451,362152.915
2452,362089.6671
2453,361973.7268
2454,361638.0847
2455,361541.7651
2456,361483.6515
2457,361473.1511
2458,361382.2531
2459,361332.0046
2460,361296.6634
2461,361238.1336
2462,361159.4126
2463,361102.2451
2464,361042.76
2465,360994.4061
2466,360932.1223
2467,360873.2208
2468,360815.9744
2469,360762.4792
2470,360699.1899
2471,360641.8849
2472,360582.9561
2473,360530.5173
2474,360716.3708
2475,360534.5079
2476,360468.8168
2477,360466.7838
2478,360469.9283
2479,360354.6872
2480,360460.4526
2481,360570.9503
2482,360573.3433
2483,360530.862
2484,360485.6544
2485,359763.7814
2486,359717.8841
2487,359666.1003
2488,359607.1253
2489,359509.2456
2490,359453.276
2491,359391.153
2492,359339.7118
2493,359281.2354
2494,359233.2592
2495,359167.5431
2496,359127.2964
2497,359054.1413
2498,358997.0116
2499,358939.2082
2500,358882.1291
2501,359487.9276
2502,359432.7335
2503,359379.7941
2504,358788.3838
2505,358848.5295
2506,358709.4853
2507,358705.2533
2508,358713.0027
2509,358810.5537
2510,358575.2279
2511,358510.5896
