scenario no.,scenario features demand,weather features demand,obstacle attribute features demand,obstacle operation features demand,total scenario demand
4800,1,3,3,0,7
4801,1,3,3,0,7
4802,1,3,3,0,7
4803,1,3,3,0,7
4804,1,3,3,0,7
4805,1,3,3,10,17
4806,1,3,3,10,17
4807,1,3,3,0,7
4808,1,3,3,0,7
4809,1,3,3,0,7
4810,2,3,3,10,18
4811,1,3,3,10,17
4812,1,3,3,0,7
4813,1,3,3,10,17
4814,0,3,3,0,6
4815,2,1,0,0,3
4816,2,1,0,10,13
4817,1,1,3,10,15
4818,2,1,3,10,16
4819,2,1,0,10,13
4820,2,1,1,10,14
4821,2,1,1,0,4
4822,2,1,1,10,14
4823,2,1,0,8,11
4824,2,1,0,2,5
4825,2,1,0,8,11
4826,5,1,1,5,12
4827,5,1,1,6,13
4828,4,1,1,10,16
4829,4,1,1,6,12
4830,1,1,1,0,3
4831,0,3,3,10,16
4832,0,3,3,0,6
4833,0,3,3,0,6
4834,2,3,3,0,8
4835,0,3,3,0,6
4836,2,3,3,0,8
4837,3,1,0,0,4
4838,2,1,0,0,3
4839,2,1,0,0,3
4840,1,1,3,0,5
4841,2,1,3,0,6
4842,2,3,3,0,8
4843,2,3,3,0,8
4844,1,3,3,0,7
4845,1,3,3,0,7
4846,2,3,3,0,8
4847,1,3,3,0,7
4848,3,3,3,0,9
4849,3,3,3,0,9
4850,3,3,3,0,9
4851,3,3,3,0,9
4852,2,3,3,0,8
4853,2,3,3,0,8
4854,1,3,3,0,7
4855,2,3,3,0,8
4856,1,3,4,0,8
4857,1,3,4,0,8
4858,1,3,4,0,8
4859,0,3,3,0,6
4860,1,3,3,0,7
4861,2,3,0,0,5
4862,1,3,1,2,7
4863,1,3,3,0,7
4864,2,3,3,0,8
4865,2,2,3,0,7
4866,2,2,1,0,5
4867,1,2,4,0,7
4868,1,2,3,0,6
4869,2,2,3,0,7
4870,1,2,3,0,6
4871,2,3,3,0,8
4872,2,3,3,0,8
4873,1,3,3,0,7
4874,1,3,3,0,7
4875,1,3,3,0,7
4876,1,3,3,0,7
4877,1,3,3,0,7
4878,1,3,3,0,7
4879,1,3,3,0,7
4880,1,3,3,0,7
4881,1,3,3,0,7
4882,1,3,3,0,7
4883,1,3,4,0,8
4884,1,3,4,0,8
4885,1,3,4,0,8
4886,1,3,4,0,8
4887,1,3,3,10,17
4888,0,3,3,0,6
4889,0,3,3,0,6
4890,1,3,3,0,7
4891,1,3,3,0,7
4892,1,3,3,0,7
4893,1,3,3,0,7
4894,1,3,3,0,7
4895,2,3,3,0,8
4896,2,3,3,0,8
4897,1,3,4,0,8
4898,1,1,3,0,5
4899,1,1,0,10,12
4900,1,1,3,0,5
4901,1,3,3,0,7
4902,1,3,3,0,7
4903,1,3,3,0,7
4904,2,3,3,0,8
4905,2,3,3,0,8
4906,2,3,3,0,8
4907,2,3,3,0,8
4908,2,3,3,0,8
4909,3,3,1,0,7
4910,3,3,3,0,9
4911,3,3,3,0,9
4912,3,3,3,0,9
4913,1,3,3,10,17
4914,2,3,3,0,8
4915,2,3,3,0,8
4916,2,3,4,10,19
4917,1,3,4,0,8
4918,1,3,4,0,8
