scenario no.,scenario diversity
5600,365395.2214
5601,365458.2232
5602,365504.2447
5603,365512.1027
5604,365467.1744
5605,365608.3645
5606,365722.4297
5607,365828.2296
5608,366041.2457
5609,366252.985
5610,366536.6195
5611,365740.4253
5612,365830.494
5613,366090.7581
5614,366016.9474
5615,366130.2259
5616,366383.0149
5617,366540.9209
5618,366562.9376
5619,366577.0264
5620,366592.282
5621,366666.963
5622,366731.9556
5623,366802.4544
5624,366865.9226
5625,366727.4856
5626,366938.0377
5627,366980.9144
5628,367007.648
5629,367190.2095
5630,367107.0328
5631,367223.4026
5632,367269.9955
5633,367414.0709
5634,367471.3504
5635,367536.1264
5636,367610.5193
5637,367758.9547
5638,367886.1208
5639,367693.5188
5640,367922.0306
5641,367939.8651
5642,368063.6725
5643,367804.3587
5644,367828.6893
5645,367923.1931
5646,367955.7073
5647,368025.6799
5648,368126.7734
5649,368198.8255
5650,368265.364
5651,368332.0783
5652,368439.1693
5653,368676.3416
5654,368700.2475
5655,368763.1983
5656,368880.947
5657,369090.0585
5658,369043.0155
5659,369199.0455
5660,369262.5915
5661,369296.6578
5662,369380.7173
5663,369464.3052
5664,369495.6413
5665,369747.6654
5666,370154.3712
5667,369302.9993
5668,369369.8448
5669,369438.568
5670,369557.4549
5671,369674.164
5672,369687.0416
5673,369758.1903
5674,369832.2652
5675,370175.5559
5676,370228.8577
5677,370356.522
5678,370504.6483
5679,370675.5835
5680,370739.703
5681,370785.4041
5682,370804.4953
5683,370875.6943
5684,370967.6287
5685,370996.1789
5686,371064.4737
5687,371140.9597
5688,371144.7767
5689,371131.7501
5690,371180.6728
5691,371141.4693
5692,371207.9334
5693,371349.7195
5694,371603.045
5695,371560.0375
5696,371292.184
5697,371374.5515
5698,371420.3373
5699,371511.6475
5700,371629.0405
5701,371666.8806
5702,372110.9566
5703,372269.6264
5704,372257.1828
5705,372363.219
5706,372171.5999
5707,372371.4092
5708,372335.8603
5709,372280.8472
5710,372517.1525
5711,372586.2645
5712,373046.15
5713,372402.7795
5714,372516.6517
5715,372541.1892
5716,372639.2828
5717,372690.4152
5718,372868.7589
5719,373008.589
5720,373194.5505
5721,373251.074
5722,373207.041
5723,373282.2808
5724,373355.6398
5725,373436.0849
5726,373504.1871
5727,373560.525
5728,373475.1502
5729,373552.5131
5730,373681.6554
5731,373695.5053
5732,373811.3989
5733,373903.664
5734,373976.8347
5735,374103.2831
5736,374031.4049
5737,374160.8914
5738,374246.8462
5739,374317.4187
5740,374444.1037
5741,374369.2139
5742,374504.5276
5743,374588.3616
5744,374659.041
5745,374646.5431
5746,374854.3246
5747,374784.8198
5748,374917.2044
5749,374999.7633
5750,375070.1549
5751,375102.3948
5752,375197.7751
5753,375346.9887
5754,375474.3786
