scenario no.,scenario features demand,weather features demand,obstacle attribute features demand,obstacle operation features demand,total scenario demand
5600,1,3,4,0,8
5601,1,3,4,0,8
5602,1,3,1,0,5
5603,1,3,3,0,7
5604,1,3,2,5,11
5605,1,3,1,0,5
5606,3,3,1,0,7
5607,3,3,1,0,7
5608,1,1,3,10,15
5609,2,1,3,10,16
5610,2,1,4,10,17
5611,2,1,3,0,6
5612,3,1,3,0,7
5613,3,1,0,0,4
5614,2,1,3,0,6
5615,3,1,3,0,7
5616,3,1,3,0,7
5617,2,1,3,0,6
5618,2,1,3,0,6
5619,2,1,0,0,3
5620,2,3,1,0,6
5621,2,3,1,0,6
5622,2,3,1,0,6
5623,2,3,1,0,6
5624,1,3,2,5,11
5625,1,3,3,10,17
5626,2,3,1,0,6
5627,2,3,1,5,11
5628,2,3,1,0,6
5629,3,3,1,5,12
5630,2,3,1,5,11
5631,1,3,1,5,10
5632,2,3,1,0,6
5633,2,3,1,3,9
5634,2,3,1,0,6
5635,2,3,1,3,9
5636,2,3,1,4,10
5637,3,3,1,0,7
5638,1,3,1,10,15
5639,1,3,3,0,7
5640,1,3,1,4,9
5641,1,3,1,5,10
5642,3,1,0,10,14
5643,1,1,3,0,5
5644,1,3,3,0,7
5645,1,3,3,0,7
5646,1,3,3,0,7
5647,1,3,3,0,7
5648,1,3,3,0,7
5649,2,3,3,0,8
5650,2,3,3,0,8
5651,2,3,3,0,8
5652,3,3,3,0,9
5653,3,3,3,0,9
5654,3,3,3,0,9
5655,2,3,3,0,8
5656,2,3,3,0,8
5657,2,3,3,0,8
5658,1,3,3,0,7
5659,2,3,3,0,8
5660,2,3,4,0,9
5661,1,3,4,10,18
5662,2,3,1,0,6
5663,1,3,2,5,11
5664,3,3,1,8,15
5665,0,3,3,5,11
5666,1,1,6,10,18
5667,1,3,3,0,7
5668,1,3,3,0,7
5669,1,3,3,0,7
5670,3,3,3,0,9
5671,3,3,3,0,9
5672,2,3,3,0,8
5673,1,3,3,0,7
5674,2,3,3,0,8
5675,3,3,3,0,9
5676,2,3,3,0,8
5677,3,3,3,0,9
5678,2,3,4,10,19
5679,1,3,4,0,8
5680,2,3,4,0,9
5681,2,3,4,0,9
5682,1,3,4,10,18
5683,1,3,1,0,5
5684,2,3,1,10,16
5685,1,3,1,10,15
5686,1,3,1,10,15
5687,1,3,1,0,5
5688,1,3,2,0,6
5689,2,3,1,5,11
5690,2,3,2,5,12
5691,1,3,2,0,6
5692,3,3,2,0,8
5693,1,3,3,0,7
5694,0,3,1,2,6
5695,2,3,1,0,6
5696,1,3,4,0,8
5697,1,3,4,0,8
5698,1,3,4,0,8
5699,1,3,3,0,7
5700,1,3,3,0,7
5701,1,3,3,0,7
5702,2,3,3,0,8
5703,2,3,3,0,8
5704,1,3,0,0,4
5705,1,3,0,0,4
5706,2,3,0,0,5
5707,1,3,0,0,4
5708,1,3,3,0,7
5709,1,3,0,0,4
5710,2,3,2,0,7
5711,5,3,1,0,9
5712,3,3,1,1,8
5713,1,1,3,0,5
5714,1,1,3,0,5
5715,1,1,3,0,5
5716,2,1,3,0,6
5717,3,1,3,0,7
5718,2,1,4,0,7
5719,2,1,3,10,16
5720,3,1,3,10,17
5721,2,1,3,0,6
5722,2,1,3,0,6
5723,2,1,3,0,6
5724,2,1,3,0,6
5725,2,3,1,0,6
5726,2,3,1,0,6
