scenario no.,scenario diversity
4000,315137.3086
4001,315285.7579
4002,314907.1863
4003,314896.9098
4004,314809.8704
4005,314787.6195
4006,314786.8252
4007,314819.2679
4008,314788.5122
4009,314810.2401
4010,314848.3395
4011,314850.5149
4012,314914.7051
4013,314898.1132
4014,314920.8775
4015,314883.2646
4016,314838.255
4017,314893.6184
4018,314845.8842
4019,314875.6753
4020,314870.5302
4021,314858.6579
4022,314866.6592
4023,314864.6942
4024,314874.8594
4025,314882.9722
4026,314881.5525
4027,314919.6681
4028,315011.6817
4029,315122.7998
4030,315157.8999
4031,315184.602
4032,315114.07
4033,315450.1058
4034,315291.8371
4035,315346.4619
4036,315424.5413
4037,315049.8256
4038,315038.0422
4039,315084.6905
4040,315107.8548
4041,315129.5043
4042,315139.732
4043,315597.3191
4044,315165.3112
4045,314984.0346
4046,314823.0543
4047,314965.3004
4048,314879.172
4049,314879.79
4050,314907.6631
4051,314908.078
4052,314896.1318
4053,314898.9638
4054,314941.2409
4055,314930.3553
4056,315014.1079
4057,315042.8456
4058,314845.5016
4059,314875.1493
4060,314935.7692
4061,314980.1641
4062,314990.4102
4063,315006.3328
4064,315043.2722
4065,314925.163
4066,314920.8784
4067,314921.0745
4068,314983.6303
4069,314944.7706
4070,314956.9411
4071,314984.0013
4072,315342.5157
4073,314962.8565
4074,314958.606
4075,314939.3143
4076,314897.9309
4077,314902.3569
4078,314958.7732
4079,314958.2971
4080,314967.4154
4081,314985.145
4082,315444.0601
4083,315437.4306
4084,315422.9778
4085,315418.4258
4086,315419.0862
4087,315417.2226
4088,315339.9413
4089,315371.4866
4090,315335.7418
4091,315194.2636
4092,315340.9593
4093,315420.6031
4094,315533.876
4095,315448.7687
4096,315263.0613
4097,315356.0628
4098,315350.5781
4099,315279.8164
4100,315309.5011
4101,315365.0663
4102,315419.6834
4103,315075.3937
4104,315051.8493
4105,315052.8847
4106,315094.9648
4107,315172.5238
4108,315058.5254
4109,315124.2017
4110,315111.2583
4111,315311.1379
4112,315242.8908
4113,315327.6301
4114,315064.0335
4115,315106.9782
4116,315082.4994
4117,315101.6829
4118,315097.4164
4119,315105.6852
4120,315123.4441
4121,315187.4103
4122,315166.2996
4123,315441.1431
4124,315411.8069
4125,315427.7019
4126,315127.5117
4127,315395.2556
4128,315531.9349
4129,315168.7513
4130,315148.2847
4131,315121.7721
4132,315160.2155
4133,315198.1761
4134,315154.7319
4135,315194.3263
4136,315206.7232
4137,315218.4117
4138,315234.8768
4139,315263.0468
4140,315261.8165
4141,315297.0894
4142,315292.2714
4143,315270.532
4144,315250.7666
4145,315285.3406
4146,315490.6265
4147,315539.8773
4148,315470.0459
4149,315620.8209
4150,315632.5273
4151,315602.2272
4152,315670.7568
4153,315610.5369
4154,315607.9868
4155,315678.9439
4156,315674.8684
4157,315660.2195
4158,315637.8907
4159,315611.721
4160,315670.8108
4161,315698.4907
4162,315684.7337
4163,315668.3187
4164,315622.0395
4165,315624.932
4166,315707.2189
4167,315774.5318
4168,315831.9719
4169,315838.6798
4170,315845.506
4171,315466.7467
4172,315443.7744
4173,315461.5202
4174,315502.7155
4175,315577.6758
4176,315617.9763
4177,315539.2694
4178,315591.876
4179,315612.1823
4180,315609.7553
4181,315588.4403
4182,315738.8959
4183,315638.4836
4184,315506.2461
4185,315652.4806
4186,315656.1785
4187,315567.0348
4188,315528.5312
4189,315538.6391
4190,315582.2298
4191,315553.4903
4192,315565.4246
4193,315601.0046
4194,315591.331
4195,315626.3973
4196,315632.3258
4197,315645.1733
4198,315659.1853
4199,315666.1536
4200,315674.722
4201,315685.837
4202,315695.2575
4203,315711.5784
4204,315816.9733
4205,315961.0991
4206,316015.9142
4207,316102.3425
4208,316220.7968
4209,315701.5999
4210,315713.7368
4211,315726.9732
4212,315731.1638
4213,315749.3812
4214,315774.3323
4215,315773.7169
4216,315797.5634
4217,316043.6726
4218,315987.3368
4219,316036.7633
4220,316090.684
4221,316172.4572
4222,316154.3668
4223,316129.1021
4224,316209.3219
4225,316195.0758
4226,316215.418
4227,316296.6979
4228,316308.9986
4229,316318.3055
4230,316297.0986
4231,316343.5302
4232,316168.8951
4233,316130.9674
4234,316354.3188
4235,316180.806
4236,316180.6678
4237,316163.2229
4238,316171.3823
4239,316172.6123
4240,316174.4931
4241,316219.7078
4242,316186.5635
4243,316191.6778
4244,316250.7125
4245,316129.0236
4246,316176.1464
4247,316292.8288
4248,316420.2314
4249,316508.9884
4250,316231.6923
4251,316233.7993
4252,316215.2763
4253,316318.5928
4254,316298.7103
4255,316156.8148
4256,316494.912
4257,316519.6972
4258,316307.2681
4259,316317.4249
4260,316327.6395
4261,316145.479
4262,316135.0406
4263,316161.6675
4264,316176.2749
4265,316188.2408
4266,316232.399
4267,316255.7208
4268,316276.1769
4269,316273.6978
4270,316319.3969
4271,316365.4876
4272,316396.1145
4273,316334.589
4274,316348.4861
4275,316392.6857
4276,316350.326
4277,316401.0317
4278,316375.6159
4279,316387.5529
4280,316435.6066
4281,316653.6493
4282,316660.6816
4283,316500.7662
4284,316648.6495
4285,316760.4004
4286,316802.3059
4287,316797.4297
4288,316607.0673
4289,316618.4191
4290,316629.7916
4291,316479.2937
4292,316872.7633
4293,316856.7552
4294,316627.1865
4295,316599.0921
4296,316792.8756
4297,316518.4048
4298,316605.195
4299,316672.6242
4300,316737.8746
4301,316771.8599
4302,316838.1206
4303,316850.0318
4304,316895.9037
4305,316861.1649
4306,316887.796
4307,316900.4555
4308,316833.6453
4309,316933.6187
4310,316927.8979
4311,316957.8556
4312,316892.4171
4313,316922.4541
4314,316846.5053
4315,316914.5609
4316,316893.8708
4317,316924.1766
4318,316947.2304
4319,316907.7796
4320,316956.4524
4321,316994.3284
4322,317035.8845
4323,317699.1615
4324,317013.8351
4325,317049.5427
4326,317016.9905
4327,317029.2408
4328,317047.8914
4329,317095.0465
4330,317109.5961
4331,317124.0375
4332,317135.5262
4333,317149.8408
4334,317163.9148
4335,317178.9434
4336,317192.4652
4337,317322.039
4338,317256.1659
4339,317243.4829
4340,317209.7191
4341,317207.1479
4342,317277.411
4343,317232.7075
4344,317239.1659
4345,317271.8474
4346,317262.2268
4347,317329.4256
4348,317288.3158
4349,317395.5581
4350,317376.0055
4351,317393.2192
4352,317408.6089
4353,317424.3093
4354,317408.2332
4355,317419.5888
4356,317784.8246
4357,317611.5026
4358,317587.7781
4359,317686.6637
4360,317683.1829
4361,317682.9546
4362,317741.4614
4363,317795.5168
4364,317715.2481
4365,317738.4678
4366,317733.434
4367,317742.5119
4368,317750.061
4369,317761.7978
4370,317776.3076
4371,317790.8566
4372,317805.4449
4373,317820.0723
4374,317834.739
4375,317761.6605
4376,317924.8877
4377,317791.2452
4378,317593.4975
4379,317610.0578
4380,317646.3164
4381,317664.1608
4382,317715.9818
4383,317735.3077
4384,317775.6793
4385,317800.5041
4386,317970.3122
4387,318050.8681
4388,318111.4077
4389,318082.9402
4390,318088.8382
4391,318104.4402
4392,318141.9567
