scenario no.,scenario diversity
4800,327445.5222
4801,327447.4376
4802,327515.0119
4803,327536.1945
4804,327564.0047
4805,327777.3098
4806,327777.4264
4807,327965.5424
4808,327722.297
4809,327901.3867
4810,327977.4905
4811,327899.9319
4812,327918.2957
4813,327992.7155
4814,328056.7594
4815,328420.1482
4816,328372.3153
4817,328693.4138
4818,328733.312
4819,328733.6727
4820,328569.3689
4821,328404.2489
4822,328467.2034
4823,328526.6667
4824,328548.7567
4825,328576.6092
4826,328669.5567
4827,328667.0145
4828,328693.6811
4829,328735.2574
4830,328586.0856
4831,328584.8639
4832,328500.8615
4833,328493.0072
4834,328670.8268
4835,328802.3543
4836,328750.3347
4837,329049.6242
4838,328894.2078
4839,328910.0911
4840,328646.7284
4841,328747.3088
4842,328753.2458
4843,328787.2898
4844,328823.3321
4845,328862.4401
4846,328902.4977
4847,328947.7298
4848,329026.8054
4849,329073.8958
4850,329079.4831
4851,329129.6397
4852,329151.8387
4853,329182.476
4854,329199.2993
4855,329263.9673
4856,329254.8259
4857,329288.4408
4858,329284.1587
4859,329510.4171
4860,329572.6611
4861,329826.7312
4862,329858.3296
4863,329580.4771
4864,329694.2988
4865,329518.9497
4866,329820.2021
4867,329643.4984
4868,329578.7758
4869,329648.4175
4870,329814.2684
4871,329858.1856
4872,329894.1989
4873,329786.9065
4874,329846.1706
4875,329923.8772
4876,329921.2667
4877,329976.0355
4878,329992.7623
4879,330043.8202
4880,330064.3561
4881,330100.7387
4882,330144.0127
4883,330182.1032
4884,330225.3134
4885,330259.9984
4886,330301.1968
4887,330414.1324
4888,330445.3245
4889,330306.4768
4890,330446.2644
4891,330425.4199
4892,330476.4904
4893,330505.3096
4894,330529.4793
4895,330574.2757
4896,330618.4755
4897,330666.7744
4898,330826.4153
4899,330985.2478
4900,330683.3366
4901,330718.3502
4902,330754.7775
4903,330792.2473
4904,330849.6534
4905,330887.555
4906,330960.2706
4907,330996.5581
4908,331036.399
4909,331528.5064
4910,331302.5323
4911,331332.6885
4912,331461.5853
4913,331428.5568
4914,331483.4781
4915,331550.635
4916,331598.5893
4917,331678.258
4918,331717.706
4919,331800.1109
4920,331808.7707
4921,331900.201
4922,331850.6758
4923,331858.1283
4924,331822.679
4925,331620.8683
4926,331906.1814
4927,331861.5715
4928,331956.1089
4929,332012.0439
4930,332122.4383
4931,332046.2964
4932,332128.2835
4933,332106.8805
4934,332201.6383
4935,332257.899
4936,332297.889
4937,332253.3108
4938,332349.2223
4939,332404.7599
4940,332445.5471
4941,332276.4425
4942,332360.2054
4943,332422.1596
4944,332465.1025
4945,332533.8322
4946,332453.5503
4947,332553.6402
4948,332622.0264
4949,332576.5746
4950,332753.1987
4951,332595.644
4952,332654.7348
4953,332656.4395
4954,332782.3392
4955,332717.3835
4956,332773.173
4957,332855.4987
4958,332883.9864
4959,333031.6278
4960,332890.8362
4961,332958.8115
4962,333062.999
4963,333115.6732
4964,333154.2249
4965,333199.8239
4966,333234.1936
4967,333197.4553
4968,333273.3334
4969,333292.5184
4970,333348.5969
4971,333375.3263
4972,333403.9255
4973,333463.2376
4974,333488.6912
4975,333540.1006
4976,333584.047
4977,333765.2334
4978,333869.5892
4979,333960.4602
4980,333883.7927
4981,333721.3487
4982,333709.5251
4983,333748.9965
4984,333789.0304
4985,333829.7592
4986,333890.1874
4987,333930.5994
4988,334007.7704
4989,334047.3624
4990,334073.7381
4991,334166.0672
4992,334448.23
4993,334459.9967
4994,334486.5089
4995,334535.8246
4996,334600.548
4997,334624.4673
4998,334649.0485
4999,334758.8014
5000,334800.356
5001,334863.3602
5002,334944.974
5003,334932.996
5004,335134.7714
5005,335053.7181
5006,335058.2073
5007,334790.7951
5008,334816.2743
5009,334818.0144
5010,334942.5336
5011,334941.7464
5012,335485.7122
5013,335250.4299
5014,335326.7374
5015,335331.2986
5016,335342.8636
5017,335426.2739
5018,335455.4626
5019,335551.8654
5020,335555.3532
5021,335543.0203
5022,335565.0879
5023,335359.5485
5024,335465.6336
5025,335550.5259
5026,335512.471
5027,335585.6223
5028,335635.2977
5029,335757.5724
5030,335678.499
