scenario no.,scenario features demand,weather features demand,obstacle attribute features demand,obstacle operation features demand,total scenario demand
1600,1,3,4,10,18
1601,1,3,1,10,15
1602,2,3,3,0,8
1603,2,3,3,10,18
1604,2,3,3,0,8
1605,2,3,3,10,18
1606,1,3,3,0,7
1607,1,3,0,0,4
1608,1,3,3,0,7
1609,1,3,3,0,7
1610,1,3,3,0,7
1611,1,3,3,0,7
1612,1,3,3,0,7
1613,1,3,3,0,7
1614,1,3,3,0,7
1615,1,3,3,0,7
1616,1,3,3,0,7
1617,2,3,0,0,5
1618,2,3,0,0,5
1619,2,3,0,10,15
1620,2,3,0,10,15
1621,2,3,0,10,15
1622,3,3,3,0,9
1623,2,3,0,0,5
1624,2,3,0,0,5
1625,3,3,0,5,11
1626,0,3,1,3,7
1627,1,3,2,5,11
1628,1,3,1,5,10
1629,1,1,3,0,5
1630,1,1,3,0,5
1631,1,1,3,0,5
1632,1,1,3,0,5
1633,1,1,3,0,5
1634,1,1,3,0,5
1635,1,1,3,0,5
1636,1,1,3,0,5
1637,1,1,4,0,6
1638,1,1,4,0,6
1639,1,1,4,0,6
1640,1,1,4,0,6
1641,1,1,4,0,6
1642,1,1,4,10,16
1643,1,1,4,10,16
1644,1,1,3,0,5
1645,1,1,3,0,5
1646,1,1,3,0,5
1647,1,1,3,0,5
1648,1,1,3,0,5
1649,1,1,3,0,5
1650,1,1,3,0,5
1651,1,1,3,0,5
1652,1,1,3,0,5
1653,1,1,3,10,15
1654,1,1,3,0,5
1655,3,1,1,3,8
1656,2,1,3,0,6
1657,2,1,3,0,6
1658,1,1,1,0,3
1659,1,1,3,0,5
1660,1,1,3,0,5
1661,1,1,3,0,5
1662,1,1,3,0,5
1663,0,1,3,10,14
1664,0,1,3,10,14
1665,0,1,3,10,14
1666,1,1,3,0,5
1667,1,1,3,0,5
1668,1,1,3,0,5
1669,1,1,3,0,5
1670,1,1,3,0,5
1671,1,1,3,0,5
1672,1,1,3,0,5
1673,1,1,3,0,5
1674,1,1,4,0,6
1675,1,1,4,0,6
1676,1,1,4,0,6
1677,1,1,4,0,6
1678,1,1,4,0,6
1679,1,1,4,0,6
1680,1,1,3,10,15
1681,1,1,3,10,15
1682,1,1,3,0,5
1683,1,1,3,0,5
1684,1,1,3,10,15
1685,1,1,3,0,5
1686,2,1,3,0,6
1687,0,1,3,0,4
1688,1,1,3,0,5
1689,1,1,3,0,5
1690,1,1,3,0,5
1691,1,1,3,0,5
1692,2,1,3,0,6
1693,2,1,3,0,6
1694,2,1,1,10,14
1695,2,1,3,0,6
1696,1,1,3,0,5
1697,1,1,3,0,5
1698,1,1,3,5,10
1699,2,1,3,0,6
1700,2,1,3,0,6
1701,2,1,3,0,6
1702,1,1,3,0,5
1703,1,1,3,0,5
1704,2,1,0,0,3
1705,1,1,3,0,5
1706,2,1,1,5,9
1707,1,1,3,0,5
1708,1,1,3,0,5
1709,1,1,3,0,5
1710,1,1,3,0,5
1711,1,1,3,0,5
1712,2,1,2,10,15
1713,2,1,3,10,16
1714,2,1,1,5,9
1715,2,1,3,0,6
1716,2,1,3,0,6
1717,1,1,3,0,5
1718,1,1,3,0,5
1719,1,1,4,0,6
1720,1,1,4,0,6
1721,1,1,4,0,6
1722,1,1,4,0,6
1723,1,1,4,0,6
1724,1,1,4,0,6
1725,2,1,4,0,7
1726,2,1,4,0,7
1727,1,1,4,0,6
1728,2,1,4,0,7
1729,2,1,4,10,17
1730,2,1,4,0,7
1731,2,3,4,0,9
1732,2,3,4,0,9
1733,2,3,4,10,19
1734,2,3,3,0,8
1735,1,3,3,0,7
1736,2,3,3,4,12
1737,1,3,3,10,17
1738,2,3,3,4,12
1739,1,3,3,0,7
1740,1,3,3,0,7
1741,1,3,3,0,7
1742,1,3,3,0,7
1743,1,3,3,0,7
1744,1,3,4,10,18
1745,1,3,3,0,7
1746,1,3,3,0,7
1747,1,3,3,0,7
1748,2,3,3,0,8
1749,1,3,0,0,4
1750,1,3,1,4,9
1751,1,3,1,4,9
1752,1,3,1,4,9
1753,0,3,3,10,16
1754,0,3,1,2,6
1755,1,3,2,2,8
1756,1,3,2,10,16
1757,3,3,2,10,18
1758,1,3,1,2,7
1759,1,3,1,7,12
1760,1,3,1,2,7
1761,0,3,1,2,6
1762,0,3,2,2,7
1763,1,3,2,2,8
1764,2,3,2,2,9
1765,3,3,1,2,9
1766,1,3,1,2,7
1767,1,3,1,6,11
1768,2,3,1,5,11
1769,1,3,1,5,10
1770,1,3,1,5,10
1771,1,3,1,10,15
1772,1,3,1,5,10
1773,1,3,3,10,17
1774,1,3,3,10,17
1775,1,3,3,10,17
1776,1,3,3,2,9
1777,1,3,2,2,8
1778,0,3,3,10,16
1779,1,1,3,0,5
1780,1,1,3,0,5
1781,1,1,3,0,5
1782,1,1,3,0,5
1783,1,1,3,0,5
1784,1,1,4,0,6
1785,1,1,4,0,6
1786,1,1,4,0,6
1787,1,1,4,0,6
1788,1,1,4,0,6
1789,1,1,4,0,6
1790,1,1,4,0,6
1791,1,1,3,0,5
1792,1,1,3,0,5
1793,2,1,3,0,6
1794,2,1,3,0,6
1795,2,1,3,0,6
1796,2,1,1,5,9
1797,2,1,3,0,6
1798,1,1,1,0,3
