scenario no.,scenario features demand,weather features demand,obstacle attribute features demand,obstacle operation features demand,total scenario demand
800,1,1,4,0,6
801,1,1,4,0,6
802,1,1,4,0,6
803,1,1,4,0,6
804,1,1,3,0,5
805,1,1,3,0,5
806,1,1,3,10,15
807,1,1,3,0,5
808,1,1,1,10,13
809,1,1,3,0,5
810,1,1,3,0,5
811,1,1,2,2,6
812,1,1,3,10,15
813,1,1,1,0,3
814,1,1,3,10,15
815,1,1,2,5,9
816,1,1,1,0,3
817,1,1,3,0,5
818,1,1,3,0,5
819,0,1,3,10,14
820,1,1,3,10,15
821,0,1,3,10,14
822,1,1,3,10,15
823,0,1,3,10,14
824,0,1,3,10,14
825,0,1,3,10,14
826,0,1,3,10,14
827,1,1,3,0,5
828,1,1,3,0,5
829,1,1,3,0,5
830,1,1,3,0,5
831,1,1,3,0,5
832,1,1,3,0,5
833,1,1,3,0,5
834,1,1,3,0,5
835,1,1,4,0,6
836,1,1,4,0,6
837,1,1,4,0,6
838,1,1,4,0,6
839,1,1,4,0,6
840,1,1,4,0,6
841,1,1,4,0,6
842,1,1,3,10,15
843,2,1,3,10,16
844,1,1,1,6,9
845,1,1,1,6,9
846,1,1,1,6,9
847,1,1,2,5,9
848,1,1,2,10,14
849,1,1,3,10,15
850,0,1,3,10,14
851,0,1,3,10,14
852,1,1,3,10,15
853,1,1,3,10,15
854,0,1,3,0,4
855,0,1,3,0,4
856,1,1,3,0,5
857,1,1,3,0,5
858,1,1,3,0,5
859,1,1,3,0,5
860,2,1,1,10,14
861,3,1,1,10,15
862,2,1,3,10,16
863,2,1,3,10,16
864,3,1,1,6,11
865,3,1,1,2,7
866,0,1,1,0,2
867,0,1,3,0,4
868,0,1,3,10,14
869,0,1,3,10,14
870,0,1,3,10,14
871,1,1,3,0,5
872,1,1,3,0,5
873,1,1,3,0,5
874,1,1,3,0,5
875,1,1,3,0,5
876,1,1,3,0,5
877,1,1,3,0,5
878,1,1,3,0,5
879,1,1,4,0,6
880,1,1,4,0,6
881,1,1,4,0,6
882,1,1,4,0,6
883,1,1,4,0,6
884,1,1,4,0,6
885,1,1,3,10,15
886,1,1,3,10,15
887,1,1,3,0,5
888,1,1,1,5,8
889,1,1,1,10,13
890,1,1,1,10,13
891,2,1,0,10,13
892,1,1,0,0,2
893,1,1,3,0,5
894,1,1,3,0,5
895,1,1,3,0,5
896,1,1,3,0,5
897,1,1,3,10,15
898,2,1,0,0,3
899,2,1,1,0,4
900,2,1,1,0,4
901,2,1,3,0,6
902,2,1,1,10,14
903,1,1,3,5,10
904,0,1,3,5,9
905,1,1,3,5,10
906,1,1,3,5,10
907,2,1,3,7,13
908,1,1,3,10,15
909,1,1,3,10,15
910,2,1,3,10,16
911,1,1,3,10,15
912,2,1,3,10,16
913,1,1,3,10,15
914,2,1,2,10,15
915,2,1,2,10,15
916,3,1,2,10,16
917,2,1,3,10,16
918,1,1,3,10,15
919,1,1,3,10,15
920,1,1,3,10,15
921,1,1,3,10,15
922,1,1,3,10,15
923,1,1,3,10,15
924,1,1,3,0,5
925,1,1,3,0,5
926,1,1,3,0,5
927,1,1,3,0,5
928,1,1,3,0,5
929,1,1,4,0,6
930,1,1,4,0,6
931,1,1,4,0,6
932,1,1,4,0,6
933,1,1,4,0,6
934,1,1,4,0,6
935,1,1,1,10,13
936,1,1,4,0,6
937,1,1,3,10,15
938,1,1,3,10,15
939,2,1,3,0,6
940,2,1,3,0,6
941,1,1,3,0,5
942,1,1,3,0,5
943,1,1,3,0,5
944,0,1,3,0,4
945,2,1,3,10,16
946,1,1,3,10,15
947,1,1,3,10,15
948,0,1,3,10,14
949,0,1,3,10,14
950,0,1,3,0,4
951,0,1,3,0,4
952,1,1,3,0,5
953,1,1,3,0,5
954,2,1,3,0,6
955,1,1,3,0,5
956,1,1,0,0,2
957,2,1,3,10,16
958,2,1,3,10,16
959,2,1,3,10,16
960,2,1,2,2,7
961,2,1,2,2,7
962,1,1,3,0,5
963,1,1,3,0,5
964,1,1,3,0,5
965,1,1,3,0,5
966,1,1,3,0,5
967,1,1,3,0,5
968,1,1,4,0,6
969,1,1,4,0,6
970,1,1,4,0,6
971,1,1,4,0,6
972,1,1,4,0,6
973,1,1,4,0,6
974,1,1,4,0,6
975,1,1,4,0,6
976,1,1,3,10,15
977,1,1,3,0,5
978,1,1,3,0,5
979,1,1,1,0,3
980,1,1,1,0,3
981,1,1,1,5,8
982,1,1,1,4,7
983,1,1,1,5,8
984,1,1,3,10,15
985,0,1,3,10,14
986,1,1,3,10,15
987,1,1,3,10,15
988,0,1,3,10,14
989,2,1,3,10,16
990,1,1,3,10,15
991,1,1,3,10,15
992,3,1,3,10,17
993,0,1,3,10,14
994,0,1,3,10,14
995,1,1,3,10,15
996,0,1,3,10,14
997,0,1,3,10,14
998,1,1,3,10,15
999,0,1,3,10,14
1000,1,1,3,10,15
1001,0,1,3,10,14
1002,1,1,3,0,5
1003,1,1,3,0,5
1004,1,1,3,0,5
1005,1,1,3,0,5
1006,1,1,3,0,5
1007,1,1,3,0,5
1008,1,1,3,0,5
1009,1,1,3,10,15
