scenario no.,scenario features demand,weather features demand,obstacle attribute features demand,obstacle operation features demand,total scenario demand
0,1,1,3,0,5
1,1,1,3,0,5
2,1,1,3,0,5
3,1,1,3,0,5
4,1,1,3,0,5
5,1,1,3,0,5
6,1,1,3,0,5
7,1,1,4,0,6
8,1,1,4,0,6
9,1,1,4,0,6
10,1,1,4,0,6
11,1,1,4,0,6
12,1,1,4,0,6
13,1,1,4,0,6
14,1,1,3,0,5
15,1,1,3,0,5
16,1,1,3,0,5
17,1,1,1,0,3
18,1,1,1,5,8
19,1,1,1,0,3
20,1,1,3,0,5
21,1,1,3,10,15
22,1,1,3,10,15
23,0,1,1,1,3
24,1,1,1,2,5
25,1,1,3,10,15
26,1,1,3,10,15
27,1,1,1,2,5
28,1,1,1,2,5
29,2,1,0,0,3
30,2,1,3,10,16
31,1,1,1,1,4
32,0,1,1,2,4
33,0,1,3,0,4
34,0,1,3,0,4
35,1,1,3,10,15
36,1,1,3,0,5
37,1,1,1,0,3
38,2,1,1,0,4
39,1,1,0,0,2
40,1,1,0,0,2
41,2,1,0,0,3
42,1,1,1,0,3
43,1,1,1,0,3
44,1,1,1,10,13
45,1,1,1,10,13
46,2,1,2,5,10
47,2,1,2,7,12
48,1,1,2,10,14
49,2,3,1,5,11
50,2,3,4,10,19
51,2,3,4,10,19
52,1,3,1,10,15
53,2,3,1,10,16
54,1,3,1,0,5
55,2,3,1,10,16
56,3,3,2,10,18
57,2,3,2,10,17
58,2,3,1,10,16
59,2,3,1,10,16
60,0,3,0,0,3
61,2,3,0,0,5
62,2,3,0,0,5
63,3,3,0,0,6
64,1,3,3,0,7
65,1,3,3,0,7
66,1,3,3,0,7
67,1,3,3,0,7
68,1,3,3,0,7
69,3,3,0,0,6
70,1,3,3,0,7
71,3,3,0,0,6
72,1,1,3,0,5
73,1,1,3,0,5
74,1,1,3,0,5
75,1,1,3,0,5
76,1,1,3,0,5
77,1,1,4,0,6
78,1,1,4,0,6
79,1,1,4,0,6
80,1,1,4,0,6
81,1,1,4,0,6
82,1,1,4,0,6
83,1,1,4,0,6
84,1,1,4,10,16
85,1,1,4,0,6
86,2,1,3,0,6
87,2,1,3,0,6
88,1,1,3,0,5
89,1,1,3,0,5
90,0,1,3,10,14
91,0,1,3,10,14
92,0,1,3,10,14
93,0,1,3,10,14
94,0,1,3,10,14
95,1,1,3,10,15
96,1,1,3,0,5
97,1,1,3,0,5
98,1,1,3,0,5
99,1,1,3,0,5
100,1,1,3,0,5
101,1,1,3,0,5
102,1,1,3,0,5
103,1,1,4,0,6
104,1,1,4,0,6
105,1,1,4,0,6
106,1,1,4,0,6
107,1,1,4,0,6
108,1,1,4,0,6
109,1,1,2,10,14
110,1,1,4,0,6
111,1,1,3,0,5
112,1,1,3,0,5
113,1,1,3,0,5
114,1,1,3,0,5
115,1,1,3,0,5
116,0,1,3,0,4
117,0,1,3,0,4
118,1,1,3,0,5
119,1,1,3,0,5
120,1,1,3,0,5
121,1,1,3,10,15
122,2,1,3,0,6
123,2,1,1,0,4
124,2,1,3,0,6
125,2,1,3,10,16
126,2,1,3,10,16
127,1,1,1,1,4
128,0,1,3,4,8
129,1,1,3,3,8
130,1,1,1,0,3
131,1,1,1,0,3
132,1,1,3,10,15
133,1,1,3,3,8
134,0,1,3,3,7
135,0,1,2,2,5
136,0,1,1,2,4
137,0,1,3,10,14
138,1,1,3,0,5
139,1,1,3,0,5
140,1,1,3,0,5
141,1,1,3,0,5
142,1,1,3,0,5
143,1,1,3,0,5
144,1,1,4,0,6
145,1,1,4,0,6
146,1,1,4,0,6
147,1,1,4,0,6
148,1,1,4,0,6
149,1,1,4,0,6
150,1,1,4,0,6
151,1,1,3,10,15
152,1,1,3,0,5
153,1,1,3,0,5
154,1,1,3,0,5
155,1,1,3,0,5
156,1,1,1,10,13
157,1,1,3,0,5
158,1,1,3,0,5
159,1,1,3,10,15
160,1,1,1,0,3
161,1,1,1,4,7
162,1,1,1,0,3
163,1,1,3,0,5
164,1,1,3,0,5
165,1,1,3,10,15
166,1,1,3,0,5
167,1,1,3,0,5
168,1,1,3,0,5
169,1,1,3,10,15
170,0,1,1,2,4
171,0,1,1,2,4
172,0,1,1,2,4
173,0,1,1,2,4
174,1,1,3,0,5
175,1,1,3,0,5
176,1,1,3,0,5
177,1,1,3,0,5
178,1,1,3,0,5
179,1,1,3,0,5
180,1,1,4,0,6
