scenario no.,scenario diversity
1600,428428.9323
1601,428328.1171
1602,427612.954
1603,427794.7081
1604,427756.02
1605,427662.3472
1606,427143.869
1607,427353.5065
1608,426908.7701
1609,426816.08
1610,426721.6125
1611,426626.0149
1612,426533.942
1613,426439.1432
1614,426346.8668
1615,426252.8407
1616,426158.0066
1617,426276.7486
1618,426250.3343
1619,426169.6872
1620,426176.2335
1621,426124.2438
1622,425718.6013
1623,425659.1847
1624,425734.2155
1625,425759.4191
1626,425718.7864
1627,425593.0818
1628,425524.9678
1629,425011.5382
1630,424864.2641
1631,424811.6504
1632,424715.9996
1633,424585.4223
1634,424504.5621
1635,424406.2528
1636,424308.4822
1637,424220.1313
1638,424122.3628
1639,424029.4843
1640,423937.9956
1641,423845.1804
1642,424419.5499
1643,424421.1911
1644,424354.1863
1645,424213.0392
1646,424072.158
1647,424040.5149
1648,423225.7885
1649,423132.6048
1650,423074.9379
1651,422989.795
1652,422830.3671
1653,423390.6809
1654,422633.0344
1655,423427.5246
1656,423195.3471
1657,423163.372
1658,422853.1682
1659,422970.4176
1660,422871.4665
1661,422789.6041
1662,422654.8867
1663,422635.5767
1664,422538.2456
1665,422442.6555
1666,421588.2084
1667,421455.4702
1668,421360.9924
1669,421269.7253
1670,421192.765
1671,421102.5519
1672,421002.5083
1673,420915.6727
1674,420814.6829
1675,420723.622
1676,420631.1851
1677,420540.6383
1678,420449.1644
1679,420358.178
1680,420928.3603
1681,420991.3777
1682,420800.1187
1683,420758.0898
1684,420638.3607
1685,420514.7381
1686,419844.8748
1687,419708.5039
1688,419618.3125
1689,419532.761
1690,419433.9003
1691,419254.6126
1692,419176.1483
1693,419079.5653
1694,419742.152
1695,418897.818
1696,418859.4326
1697,418786.4608
1698,419432.6712
1699,419422.3312
1700,419336.7764
1701,418944.2559
1702,418379.3264
1703,418247.6346
1704,419006.2824
1705,418784.2793
1706,418837.7651
1707,418751.1743
1708,418697.8996
1709,418605.811
1710,418516.8227
1711,418425.3272
1712,418288.7315
1713,418144.6481
1714,417785.1634
1715,417219.3626
1716,417158.9417
1717,417013.8941
1718,416931.0139
1719,416805.7045
1720,416716.6404
1721,416627.0966
1722,416525.5402
1723,416437.9543
1724,416349.3368
1725,416294.224
1726,416207.0552
1727,416089.9733
1728,416035.2234
1729,416662.6341
1730,415860.5439
1731,415781.4949
1732,415689.4471
1733,416283.1807
1734,415447.9323
1735,415358.0265
1736,415866.515
1737,415880.4546
1738,415702.2709
1739,414979.6343
1740,414884.0445
1741,414796.1908
1742,414707.0175
1743,414650.6015
1744,415271.9769
1745,414460.0705
1746,414373.6784
1747,414272.847
1748,414255.7618
1749,414280.9225
1750,414389.6724
1751,414304.9394
1752,414247.4869
1753,414555.5034
1754,414063.9647
1755,413966.2781
1756,414102.9424
1757,413837.0966
1758,413794.2165
1759,413706.5697
1760,413639.8827
1761,413528.6085
1762,413412.0052
1763,413094.0136
1764,413004.2157
1765,413078.1917
1766,412917.4354
1767,412811.1829
1768,412939.8668
1769,412846.2496
1770,412865.4073
1771,412658.0894
1772,412588.8163
1773,412662.7752
1774,412575.4979
1775,412488.3139
1776,412154.0595
1777,412220.5406
1778,412362.3646
1779,411484.8007
1780,411368.8202
1781,411293.0206
1782,411197.3532
1783,411113.2653
1784,411069.2143
1785,410937.4806
1786,410848.2867
1787,410761.0722
1788,410674.5808
1789,410588.2924
1790,410503.4258
1791,410404.1749
1792,411151.5817
1793,411214.6044
1794,410252.0099
1795,411082.0991
1796,410674.1464
1797,410838.8096
1798,410332.1863
1799,410231.8544
1800,410005.7535
1801,409955.8823
1802,410028.852
1803,409433.1118
1804,409390.5267
1805,409215.2162
1806,409155.1291
1807,409826.3473
1808,409821.7513
1809,409786.3894
1810,409689.38
1811,409583.1291
1812,409517.1118
1813,409295.9013
1814,409210.3707
1815,408718.8042
1816,408849.8726
1817,408772.4739
1818,408868.0771
1819,408782.3311
1820,408697.2595
1821,408612.3407
1822,408527.5465
1823,407685.687
1824,407562.8433
1825,407480.7922
1826,407397.215
1827,407327.0445
1828,407249.0483
1829,407196.9851
1830,407111.5673
1831,406992.9684
1832,406910.5793
1833,406829.1577
1834,406746.0628
1835,406662.4298
1836,406579.1965
1837,406496.6978
1838,406415.6009
1839,406333.8374
1840,406251.2256
1841,406168.4074
1842,406086.5136
1843,406004.8004
1844,405922.9225
1845,405840.758
1846,405861.4909
1847,405779.0908
1848,405697.0839
1849,405738.8208
1850,405616.0296
1851,405523.6631
1852,405365.6873
1853,405326.6785
1854,405225.737
1855,405177.7147
1856,405038.7874
1857,404987.2107
1858,404888.0354
1859,404790.3782
1860,404716.4698
1861,404628.6127
1862,404556.37
1863,404305.1131
1864,404222.2613
1865,404124.8132
1866,404041.8723
1867,403959.7884
1868,403879.6051
1869,403800.0007
1870,404343.6656
1871,403634.2161
1872,403670.7558
1873,403487.2362
1874,404138.1952
1875,404135.0699
1876,403933.8302
1877,403898.6882
1878,403826.8981
1879,402976.0376
1880,403089.3125
1881,403115.542
1882,402969.6944
1883,402829.7513
1884,402734.206
1885,402664.4397
1886,402583.1207
1887,402490.9417
1888,402453.3237
1889,402382.876
1890,402198.1735
1891,402115.5017
1892,402226.8678
1893,401764.9649
1894,401701.0339
1895,401610.0484
1896,401560.828
1897,401462.0897
1898,401383.2015
1899,401290.2649
1900,401254.9669
1901,401136.9694
1902,401057.0948
1903,400986.2852
1904,400907.4581
1905,400829.7036
1906,400752.8344
1907,400670.2993
1908,400591.297
1909,400511.8349
1910,400431.7241
1911,400352.1529
1912,400272.0464
1913,400194.733
1914,400432.7088
1915,400425.0382
1916,400324.6114
1917,400380.4431
1918,400392.656
1919,400314.7158
1920,400368.7656
1921,400238.8949
1922,400016.7122
1923,399998.5758
1924,399865.433
1925,399682.1318
1926,399538.538
1927,399448.0506
1928,399463.6601
1929,399293.6588
1930,399221.5469
