scenario no.,scenario diversity
800,515500.879
801,515375.3804
802,515251.1464
803,515125.2625
804,514997.8691
805,514882.6014
806,515395.0592
807,514604.7053
808,514746.0731
809,514369.145
810,514255.1384
811,514433.3251
812,514703.3736
813,514092.6463
814,514457.111
815,514450.7454
816,514304.9904
817,514154.5334
818,513966.2856
819,513812.7851
820,513737.1417
821,513562.5179
822,513481.4826
823,513537.5005
824,513412.9198
825,513089.1957
826,512967.7372
827,512169.6377
828,512044.046
829,511874.0086
830,511807.1989
831,511626.3535
832,511498.1385
833,511377.6424
834,511263.9266
835,511136.9598
836,511005.4184
837,510881.4406
838,510757.5589
839,510633.4077
840,510509.8748
841,510390.1297
842,510974.9055
843,510917.684
844,510504.1585
845,510411.0797
846,510290.9176
847,510322.6027
848,510210.2258
849,510093.6879
850,510010.1876
851,509886.878
852,509772.8738
853,509649.5052
854,509635.0897
855,508874.6787
856,508595.3031
857,508528.0098
858,508416.8139
859,508197.9392
860,508847.4854
861,508805.2959
862,508607.3656
863,508491.0087
864,508498.5253
865,508709.8275
866,507906.9918
867,507979.7896
868,507845.7374
869,507722.6972
870,507600.0813
871,506718.9075
872,506564.4776
873,506440.8551
874,506315.1352
875,506209.7372
876,506072.0087
877,505952.4379
878,505842.2118
879,505707.1614
880,505585.0546
881,505462.5073
882,505340.2455
883,505218.3277
884,505096.5422
885,505685.8938
886,505605.4163
887,505455.2753
888,505101.0861
889,505020.3242
890,504924.5139
891,504796.1031
892,504572.6395
893,504095.0236
894,503995.8797
895,503737.1437
896,503619.3907
897,504218.3958
898,504153.0368
899,504011.2453
900,503897.3936
901,503015.1947
902,503967.3605
903,503654.0806
904,503469.0519
905,503339.1575
906,503208.1557
907,503139.3188
908,502922.3012
909,502801.8764
910,502741.3305
911,502620.4481
912,502523.3933
913,502378.7544
914,502348.6484
915,502276.1155
916,502135.3293
917,501940.9651
918,501798.4531
919,501877.018
920,501556.7359
921,501435.998
922,501315.3296
923,501197.8509
924,500268.7659
925,500116.8455
926,500011.7479
927,499892.3622
928,499763.8926
929,499645.1535
930,499519.3287
931,499399.8575
932,499277.8529
933,499158.332
934,499037.6339
935,499633.171
936,498798.2646
937,499443.3795
938,499325.1503
939,499399.231
940,499253.5963
941,499012.6799
942,498910.6678
943,498695.168
944,498569.2943
945,498459.9766
946,498337.9362
947,498218.7283
948,498080.7659
949,498042.0688
950,497835.4002
951,497053.4605
952,496931.7769
953,496866.2515
954,496696.654
955,496515.7984
956,497196.7617
957,497078.5617
958,496933.2217
959,496843.5399
960,496532.5492
961,496420.4549
962,495718.8098
963,495568.0919
964,495468.4157
965,495340.7267
966,495209.5787
967,495104.015
968,494971.4502
969,494858.1838
970,494735.0888
971,494615.9048
972,494498.3316
973,494378.5875
974,494259.8934
975,494170.585
976,494765.5403
977,494689.7645
978,494497.8796
979,494160.2944
980,493900.9075
981,493928.7517
982,493755.0336
983,493785.2217
984,493738.939
985,493619.355
986,493501.0797
987,493421.9652
988,493269.7481
989,493213.6711
990,493261.841
991,493143.7856
992,492877.9755
993,492744.225
994,492780.7114
995,492476.5242
996,492326.3413
997,492228.0337
998,492142.6645
999,491994.4075
1000,491911.6142
1001,491924.2569
1002,491045.1556
1003,490892.1357
1004,490706.0551
1005,490587.2327
1006,490491.4373
1007,490380.5794
1008,490263.3426
1009,490836.6005
1010,490777.472
1011,490665.6997
1012,490544.4958
1013,490427.9139
1014,490285.7309
1015,490168.2763
1016,490055.8746
1017,489456.047
1018,489312.9151
1019,489063.8966
1020,488961.8647
1021,489511.2379
1022,488744.2792
1023,488575.0073
1024,488436.9468
1025,488307.5473
1026,488190.3902
1027,488075.7712
1028,487960.1208
1029,487849.2609
1030,487739.983
1031,487622.3657
1032,487509.2919
1033,487393.2246
1034,487277.9438
1035,487163.1533
1036,487776.8667
1037,486934.2053
1038,486818.2066
1039,487391.5924
1040,487614.5476
1041,487205.4562
1042,487148.6027
1043,486982.4008
1044,487145.6364
1045,487021.8414
1046,487034.2239
1047,486880.8452
1048,486756.7082
1049,486640.9533
1050,486409.6
1051,485240.4019
1052,485132.4068
1053,485007.9337
1054,484904.9383
1055,484777.2716
1056,484673.9888
1057,484552.2161
1058,484449.1765
1059,484316.9849
1060,484201.0931
1061,484085.2461
1062,483970.214
1063,483855.3409
1064,484404.1482
1065,484345.1868
1066,484265.4576
1067,484102.5375
1068,483989.737
1069,483866.6416
1070,483276.4545
1071,483027.8949
1072,482896.7335
1073,482722.9123
1074,482576.1462
1075,482685.5677
1076,482917.7761
1077,482641.0482
1078,482526.2854
1079,482815.9706
1080,482345.4028
1081,482150.848
1082,481990.4343
1083,482262.6123
1084,482153.2174
1085,482429.1921
1086,481988.6397
1087,481490.8357
1088,481743.6282
1089,481573.4693
1090,481072.9903
1091,481005.3818
1092,480938.1155
1093,480805.6134
1094,480388.8379
1095,480978.5407
1096,480204.0308
1097,480050.0225
1098,479925.764
1099,479814.1902
1100,479682.0258
1101,479554.1151
1102,479454.1774
1103,479326.4979
1104,479212.9005
1105,479101.7175
1106,478991.2769
1107,478914.7052
1108,478806.0836
1109,478691.0835
1110,478580.7563
1111,478469.6108
1112,478324.7301
1113,478213.0987
1114,478130.3937
1115,477986.4155
1116,477891.0571
1117,478319.0676
1118,478215.5487
1119,477484.6993
1120,477804.1247
1121,477277.9335
1122,477126.3198
1123,477015.3691
1124,476918.9355
1125,476801.8759
1126,476673.9966
1127,476568.501
1128,476448.8132
1129,476339.5434
1130,476226.6316
1131,476113.9531
1132,476000.9121
1133,475890.0762
1134,475776.7374
1135,476326.6617
1136,475565.4817
1137,476219.0439
1138,476024.6291
1139,475881.2697
1140,475766.3511
1141,475653.9505
1142,475566.0251
1143,475654.244
1144,475318.3706
1145,475239.7775
1146,475094.2651
1147,475016.3305
1148,474880.2839
1149,474768.4378
1150,474661.6966
1151,474550.0485
1152,474647.7538
1153,474536.077
1154,474424.4164
1155,474312.8837
1156,473982.5847
1157,473890.3296
1158,473116.5612
1159,473032.6439
1160,472937.5632
1161,472757.7526
1162,472683.4425
1163,473189.3097
1164,473146.7467
1165,472926.2225
1166,472841.4359
1167,472411.9115
1168,472798.9619
1169,472799.6005
1170,472523.8482
1171,472359.8284
1172,471868.6895
1173,472130.3206
