scenario no.,scenario features demand,weather features demand,obstacle attribute features demand,obstacle operation features demand,total scenario demand
3200,3,3,0,10,16
3201,3,3,3,10,19
3202,2,3,3,0,8
3203,2,3,3,0,8
3204,2,3,3,0,8
3205,2,3,3,0,8
3206,2,3,3,0,8
3207,1,3,3,0,7
3208,1,3,3,0,7
3209,1,3,3,0,7
3210,1,3,3,0,7
3211,1,3,3,0,7
3212,1,3,3,0,7
3213,1,3,3,0,7
3214,1,3,4,0,8
3215,1,3,4,0,8
3216,1,3,4,0,8
3217,1,3,4,0,8
3218,1,3,4,0,8
3219,1,3,4,0,8
3220,1,3,4,0,8
3221,2,3,4,4,13
3222,1,3,4,0,8
3223,2,3,4,0,9
3224,1,3,3,10,17
3225,1,3,3,0,7
3226,1,3,3,0,7
3227,1,3,3,0,7
3228,1,3,3,0,7
3229,1,3,3,0,7
3230,1,3,1,0,5
3231,1,3,1,6,11
3232,1,3,3,0,7
3233,1,3,3,0,7
3234,1,3,3,0,7
3235,1,3,3,0,7
3236,1,3,3,0,7
3237,1,3,3,0,7
3238,1,3,4,0,8
3239,1,3,4,0,8
3240,1,3,4,0,8
3241,1,3,4,0,8
3242,1,3,4,0,8
3243,1,3,4,0,8
3244,1,3,4,0,8
3245,1,3,4,0,8
3246,1,3,4,0,8
3247,1,3,4,0,8
3248,1,3,4,0,8
3249,1,3,4,0,8
3250,1,3,4,0,8
3251,1,3,4,0,8
3252,1,3,4,0,8
3253,1,3,4,0,8
3254,1,3,4,0,8
3255,1,3,4,0,8
3256,2,3,4,0,9
3257,3,3,4,0,10
3258,2,3,4,0,9
3259,3,3,4,0,10
3260,3,3,4,0,10
3261,3,3,3,0,9
3262,3,3,3,0,9
3263,3,3,0,0,6
3264,2,3,0,10,15
3265,2,3,3,10,18
3266,2,3,3,0,8
3267,2,3,3,0,8
3268,2,3,3,0,8
3269,1,3,3,0,7
3270,1,3,3,0,7
3271,1,3,3,0,7
3272,1,3,3,0,7
3273,1,3,3,0,7
3274,1,3,3,0,7
3275,1,3,4,0,8
3276,1,3,4,0,8
3277,1,3,4,0,8
3278,1,3,4,0,8
3279,1,3,4,0,8
3280,1,3,4,0,8
3281,1,3,4,10,18
3282,1,3,4,10,18
3283,2,3,4,10,19
3284,1,3,4,0,8
3285,1,1,4,0,6
3286,1,1,4,0,6
3287,1,1,4,0,6
3288,1,1,4,0,6
3289,1,1,4,0,6
3290,1,1,4,0,6
3291,1,1,4,0,6
3292,1,1,3,0,5
3293,1,1,3,0,5
3294,2,1,3,0,6
3295,1,1,3,0,5
3296,1,3,3,0,7
3297,1,3,3,0,7
3298,1,3,3,0,7
3299,1,1,3,0,5
3300,1,1,3,0,5
3301,1,3,4,0,8
3302,1,3,4,0,8
3303,1,3,4,0,8
3304,1,3,4,0,8
3305,1,3,4,0,8
3306,1,3,4,0,8
3307,1,3,4,0,8
3308,1,3,4,0,8
3309,1,3,4,0,8
3310,1,3,4,0,8
3311,1,3,4,0,8
3312,1,3,4,0,8
3313,2,3,4,0,9
3314,3,3,4,0,10
3315,2,3,4,0,9
3316,3,3,4,0,10
3317,3,3,4,0,10
3318,3,3,4,0,10
3319,2,3,3,0,8
3320,2,3,4,0,9
3321,2,3,4,0,9
3322,1,3,4,0,8
3323,1,3,4,0,8
3324,1,3,4,0,8
3325,1,3,4,0,8
3326,1,3,4,0,8
3327,1,3,4,0,8
3328,1,3,4,0,8
3329,1,3,4,0,8
3330,0,3,3,0,6
3331,1,3,4,10,18
3332,1,3,4,10,18
3333,1,3,4,10,18
3334,1,3,4,10,18
3335,1,3,4,0,8
3336,1,3,4,0,8
3337,1,3,3,0,7
3338,1,3,3,10,17
3339,1,3,3,0,7
3340,1,3,3,0,7
3341,1,3,3,0,7
3342,1,3,3,0,7
3343,1,3,3,0,7
3344,1,3,3,0,7
3345,1,3,3,0,7
3346,1,3,3,0,7
3347,1,3,4,0,8
3348,1,3,4,0,8
3349,1,3,4,0,8
3350,1,3,4,0,8
3351,1,3,4,0,8
3352,1,3,4,0,8
3353,1,3,4,0,8
3354,1,3,4,0,8
3355,1,3,4,0,8
3356,1,3,4,0,8
3357,1,3,3,0,7
3358,1,3,3,0,7
3359,2,3,3,0,8
3360,0,3,3,0,6
3361,1,3,3,0,7
3362,0,3,3,0,6
3363,1,3,2,2,8
3364,2,3,2,10,17
3365,2,3,2,5,12
3366,1,3,2,10,16
3367,1,3,1,5,10
3368,1,3,1,5,10
3369,1,3,0,0,4
3370,1,3,1,0,5
3371,2,3,1,10,16
3372,1,3,3,0,7
3373,2,3,3,0,8
3374,2,3,1,5,11
3375,3,3,1,6,13
3376,3,3,1,6,13
3377,2,3,0,0,5
3378,2,3,0,10,15
3379,2,3,0,10,15
3380,2,3,0,0,5
3381,2,3,3,0,8
3382,2,3,1,0,6
3383,2,3,0,0,5
3384,2,3,0,0,5
3385,2,3,0,0,5
3386,2,3,3,10,18
3387,2,3,2,5,12
3388,1,3,0,10,14
3389,1,3,1,0,5
3390,1,3,1,3,8
3391,0,3,2,0,5
3392,1,3,1,1,6
3393,1,3,1,2,7
3394,0,3,1,0,4
3395,0,3,1,0,4
3396,0,3,1,0,4
3397,0,3,1,0,4
3398,0,3,2,0,5
3399,0,3,2,0,5
3400,0,3,1,0,4
3401,0,3,1,0,4
3402,1,3,1,0,5
3403,1,3,1,0,5
3404,1,3,2,5,11
3405,1,3,1,1,6
3406,0,3,3,0,6
3407,0,3,3,0,6
3408,1,3,1,1,6
3409,0,3,1,1,5
3410,0,3,1,3,7
3411,0,3,2,2,7
3412,3,3,1,1,8
3413,0,3,2,0,5
3414,1,3,2,0,6
3415,2,3,2,0,7
3416,2,3,2,0,7
3417,3,3,2,0,8
3418,3,3,2,0,8
3419,2,3,2,0,7
3420,1,3,2,0,6
3421,2,3,2,0,7
3422,1,1,2,0,4
3423,1,1,2,0,4
