scenario no.,scenario features demand,weather features demand,obstacle attribute features demand,obstacle operation features demand,total scenario demand
6400,0,1,3,0,4
6401,0,1,3,0,4
6402,0,1,3,0,4
6403,0,1,3,0,4
6404,0,1,3,0,4
6405,0,1,3,0,4
6406,0,1,3,0,4
6407,0,1,3,0,4
6408,0,1,3,0,4
6409,0,1,3,0,4
6410,0,1,3,0,4
6411,0,1,3,0,4
6412,0,1,3,0,4
6413,0,1,3,0,4
6414,0,1,3,0,4
6415,0,1,3,0,4
6416,0,1,3,0,4
6417,0,1,3,0,4
6418,0,1,3,0,4
6419,0,3,3,0,6
6420,0,3,3,0,6
6421,0,3,3,0,6
6422,0,3,3,0,6
6423,0,3,3,0,6
6424,0,3,3,0,6
6425,0,3,3,0,6
6426,0,3,3,0,6
6427,0,1,3,0,4
6428,0,1,3,0,4
6429,0,1,3,0,4
6430,0,1,3,0,4
6431,0,1,3,0,4
6432,0,1,3,0,4
6433,0,1,3,0,4
6434,0,1,3,0,4
6435,0,1,3,0,4
6436,0,1,3,0,4
6437,0,1,3,0,4
6438,0,1,3,0,4
6439,0,1,3,0,4
6440,0,1,3,0,4
6441,0,1,3,0,4
6442,0,1,3,0,4
6443,0,1,3,0,4
6444,0,1,3,0,4
6445,0,1,3,0,4
6446,0,1,3,0,4
6447,0,1,3,0,4
6448,0,1,3,0,4
6449,0,1,3,0,4
6450,0,1,3,0,4
6451,0,1,3,0,4
6452,0,1,3,0,4
6453,0,1,3,0,4
6454,0,1,3,0,4
6455,0,1,3,0,4
6456,0,1,3,0,4
6457,0,1,3,0,4
6458,1,1,3,0,5
6459,2,1,3,10,16
6460,1,1,3,0,5
6461,1,1,3,0,5
6462,1,1,3,0,5
6463,2,1,0,10,13
6464,3,1,1,10,15
6465,3,1,2,5,11
6466,2,1,3,0,6
6467,2,1,4,10,17
6468,3,1,3,6,13
6469,2,1,3,10,16
6470,3,1,3,10,17
6471,2,1,3,10,16
6472,3,1,3,10,17
6473,2,1,3,10,16
6474,2,1,0,10,13
6475,2,1,0,5,8
6476,2,1,1,7,11
6477,2,1,0,10,13
6478,2,1,1,6,10
6479,1,1,3,0,5
6480,1,1,3,0,5
6481,1,1,3,0,5
6482,1,1,3,0,5
6483,2,1,3,10,16
6484,1,1,3,0,5
6485,2,1,3,0,6
6486,1,1,3,0,5
6487,1,1,3,0,5
6488,0,1,3,0,4
6489,0,1,3,0,4
6490,0,1,3,0,4
6491,0,1,3,0,4
6492,0,1,3,0,4
6493,0,1,3,0,4
6494,0,1,3,0,4
6495,0,1,3,0,4
6496,0,1,3,0,4
6497,0,1,4,0,5
6498,2,1,1,0,4
6499,3,1,3,0,7
6500,3,1,1,0,5
6501,2,1,1,0,4
6502,2,1,1,0,4
6503,2,1,3,0,6
6504,1,1,3,0,5
6505,1,1,3,0,5
6506,1,1,3,0,5
6507,1,1,3,0,5
6508,2,1,1,0,4
6509,1,1,3,0,5
6510,1,1,3,0,5
6511,1,1,3,0,5
6512,2,1,3,0,6
6513,1,1,3,0,5
6514,2,1,3,0,6
6515,1,1,3,0,5
6516,1,1,3,10,15
6517,1,1,3,0,5
6518,1,1,3,0,5
6519,0,1,3,0,4
6520,1,1,3,0,5
6521,1,1,3,0,5
6522,1,1,3,0,5
6523,1,1,3,0,5
6524,1,1,3,0,5
6525,1,1,3,0,5
6526,1,1,3,0,5
6527,1,1,3,0,5
6528,1,1,3,0,5
6529,1,1,3,0,5
6530,1,1,3,0,5
6531,1,1,3,0,5
6532,1,1,3,0,5
6533,1,1,3,0,5
6534,2,1,3,0,6
6535,1,1,3,0,5
6536,1,1,3,0,5
6537,1,1,3,0,5
6538,2,1,3,0,6
6539,2,1,0,0,3
6540,2,1,0,0,3
6541,1,1,3,0,5
6542,1,1,3,0,5
6543,2,1,3,0,6
6544,2,1,3,0,6
6545,2,1,3,0,6
6546,2,1,3,10,16
6547,2,1,3,10,16
6548,2,1,3,10,16
6549,2,1,3,0,6
6550,2,1,4,10,17
6551,2,1,1,0,4
6552,2,1,1,0,4
6553,2,1,1,0,4
6554,2,1,1,0,4
6555,2,1,4,0,7
6556,2,1,4,0,7
6557,2,1,4,0,7
6558,1,1,4,0,6
6559,1,1,4,0,6
6560,2,1,4,0,7
6561,1,1,4,0,6
6562,1,1,4,0,6
6563,1,1,4,0,6
6564,1,1,4,0,6
6565,1,1,4,0,6
6566,1,1,4,0,6
6567,1,1,4,0,6
6568,1,1,4,10,16
6569,1,1,4,10,16
6570,2,1,3,10,16
6571,1,1,3,10,15
6572,1,1,3,0,5
6573,1,1,3,0,5
6574,1,1,3,0,5
6575,1,1,3,0,5
6576,1,1,4,0,6
6577,1,1,4,0,6
6578,1,1,4,0,6
6579,2,1,4,0,7
6580,1,1,4,0,6
6581,1,1,4,0,6
6582,1,1,4,0,6
6583,1,1,4,0,6
6584,2,1,4,0,7
6585,2,1,3,0,6
6586,2,1,3,0,6
6587,1,1,3,0,5
6588,1,1,3,0,5
6589,1,1,3,0,5
6590,1,1,3,0,5
6591,1,1,3,0,5
6592,2,1,3,0,6
6593,2,1,3,0,6
6594,2,1,3,0,6
6595,2,1,3,0,6
