feature_ego_throttle,,,,,,feature_scenarioIdentifier,,
feature_ego_steeringTarget,,,,,,feature_ego_acceleration,,
feature_ego_brake,,,,,,feature_ego_throttle,,
feature_ego_steeringRate,,,,,,feature_ego_steeringTarget,,
feature_ego_speed,,,,,,feature_ego_brake,,
feature_ego_speedCategory,,,,,,feature_ego_steeringRate,,
feature_ego_speedDemand,,,,,,feature_ego_speed,,
feature_ego_velocityx,,,,,,feature_ego_speedCategory,,
feature_ego_velocityy,,,,,,feature_ego_speedDemand,,
feature_ego_velocityz,,,,,,feature_ego_velocityx,,
feature_ego_comVelocity,,,,,,feature_ego_velocityy,,
feature_ego_accelerationx,,,,,,feature_ego_velocityz,,
feature_ego_accelerationy,,,,,,feature_ego_comVelocity,,
feature_ego_accelerationz,,,,,,feature_ego_accelerationx,,
feature_ego_comAcceleration ,,,,,,feature_ego_accelerationy,,
feature_ego_positionx,,,,,,feature_ego_accelerationz,,
feature_ego_positiony,,,,,,feature_ego_comAcceleration ,,
feature_ego_positionz,,,,,,feature_ego_positionx,,
feature_ego_comPosition,,,,,,feature_ego_positiony,,
feature_ego_operation,,,,,,feature_ego_positionz,,
feature_volumeObstacleWithMaximumVelocity,,,,,,feature_volumeObstacleWithMinimumDistance,,
feature_volumeObstacleWithMaximumAcceleration,,,,,,feature_volumeObstacleWithMaximumSpeed,,
feature_ego_operationDemand,,,,,,feature_volumeObstacleWithMaximumVelocity,,
feature_operationOfObstacleHavingMaximumDistanceDemand,,,,,,feature_volumeObstacleWithMaximumAcceleration,,
feature_operationOfObstacleHavingMinimumDistanceDemand,,,,,,feature_collisionEvent,,
feature_operationOfObstacleHavingMaximumSpeedDemand,,,,,,feature_collisionEventDemand,,
feature_operationOfObstacleHavingMaximumVelocityDemand,,,,,,feature_collisionProbabilityTimeStamp,,
feature_operationOfObstacleHavingMinimumSpeedDemand,,,,,,feature_diversity,,
feature_operationOfObstacleHavingMaximumVelocityDemand,,,,,,feature_diversity_,,
feature_operationOfObstacleHavingMinimumVelocityDemand,,,,,,feature_diversityAVG,,
feature_operationOfObstacleHavingMaximumAccelerationDemand,,,,,,feature_collisionProbability,,
feature_operationOfObstacleHavingMinimumAccelerationDemand,,,,,,feature_demand,,
feature_operationOfObstacleHavingMaximumVolumeDemand,,,,,,feature_operationOfObstacleHavingMaximumDistanceDemand,,
feature_operationOfObstacleHavingMinimumVolumeDemand,,,,,,feature_operationOfObstacleHavingMinimumDistanceDemand,,
feature_obstaclesAverageDistanceDemand,,,,,,feature_operationOfObstacleHavingMaximumSpeedDemand,,
feature_obstaclesMaximumDistanceDemand,,,,,,feature_operationOfObstacleHavingMaximumVelocityDemand,,
feature_obstaclesMinimumDistanceDemand,,,,,,feature_operationOfObstacleHavingMinimumSpeedDemand,,
feature_obstaclesAverageVelocityDemand,,,,,,feature_operationOfObstacleHavingMaximumVelocityDemand,,
feature_obstaclesMaximumVelocityDemand,,,,,,feature_operationOfObstacleHavingMinimumVelocityDemand,,
feature_obstaclesMinimumVelocityDemand,,,,,,feature_operationOfObstacleHavingMaximumAccelerationDemand,,
feature_obstaclesAverageAccelerationDemand,,,,,,feature_operationOfObstacleHavingMinimumAccelerationDemand,,
feature_obstaclesMaximumAccelerationDemand,,,,,,feature_operationOfObstacleHavingMaximumVolumeDemand,,
feature_obstaclesMinimumAccelerationDemand,,,,,,feature_operationOfObstacleHavingMinimumVolumeDemand,,
feature_rain_fog_wetness_time,,,,,,feature_obstaclesAverageDistanceDemand,,
feature_speed_acceleration_obstaclesMinDist,,,,,,feature_obstaclesMaximumDistanceDemand,,
,,,,,,feature_obstaclesMinimumDistanceDemand,,
,,,,,,feature_obstaclesAverageVelocityDemand,,
feature_collisionEvent,,,,,,feature_obstaclesMaximumVelocityDemand,,
feature_collisionEventDemand,,,,,,feature_obstaclesMinimumVelocityDemand,,
feature_collisionProbability,,,,,,feature_obstaclesAverageAccelerationDemand,,
,,,,,,feature_obstaclesMaximumAccelerationDemand,,
,,,,,,feature_obstaclesMinimumAccelerationDemand,,
